Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
118,27,5,66,4,Some Random Commen with Id 118
119,27,5,186,0,Some Random Commen with Id 119
120,27,5,110,7,Some Random Commen with Id 120
121,27,5,170,6,Some Random Commen with Id 121
122,28,6,15,6,Some Random Commen with Id 122
123,28,6,199,1,Some Random Commen with Id 123
124,28,6,73,5,Some Random Commen with Id 124
125,28,6,47,7,Some Random Commen with Id 125
126,28,6,124,7,Some Random Commen with Id 126
127,29,0,52,2,Some Random Commen with Id 127
128,30,4,166,2,Some Random Commen with Id 128
129,30,4,91,1,Some Random Commen with Id 129
130,30,4,138,3,Some Random Commen with Id 130
131,31,5,77,1,Some Random Commen with Id 131
132,31,5,87,0,Some Random Commen with Id 132
133,31,5,114,0,Some Random Commen with Id 133
134,31,5,151,6,Some Random Commen with Id 134
135,31,5,48,0,Some Random Commen with Id 135
136,32,0,167,3,Some Random Commen with Id 136
137,33,0,172,8,Some Random Commen with Id 137
138,33,0,129,6,Some Random Commen with Id 138
139,33,0,84,0,Some Random Commen with Id 139
140,33,0,155,8,Some Random Commen with Id 140
141,33,0,70,4,Some Random Commen with Id 141
142,33,0,68,2,Some Random Commen with Id 142
143,33,0,48,2,Some Random Commen with Id 143
144,35,9,181,0,Some Random Commen with Id 144
145,38,0,19,5,Some Random Commen with Id 145
146,38,0,111,8,Some Random Commen with Id 146
147,38,0,23,0,Some Random Commen with Id 147
148,38,0,162,6,Some Random Commen with Id 148
149,38,0,55,4,Some Random Commen with Id 149
150,38,0,15,4,Some Random Commen with Id 150
151,38,0,108,7,Some Random Commen with Id 151
152,38,0,44,9,Some Random Commen with Id 152
153,38,0,189,4,Some Random Commen with Id 153
154,39,2,197,9,Some Random Commen with Id 154
155,39,2,154,1,Some Random Commen with Id 155
156,39,2,124,8,Some Random Commen with Id 156
157,39,2,160,8,Some Random Commen with Id 157
158,39,2,177,2,Some Random Commen with Id 158
159,39,2,37,7,Some Random Commen with Id 159
160,39,2,177,8,Some Random Commen with Id 160
161,39,2,155,3,Some Random Commen with Id 161
162,39,2,49,5,Some Random Commen with Id 162
